Linea;Origen;Destino;Solucion 1
Barcelona - Valles;PROVENÇA;MIRA-SOL;"Entrada per BALMES-ENRIQUE GRANADOS / BALMES- RAMBLA CATALUNYA: Accedeixi a l'estació per BALMES-ENRIQUE GRANADOS / BALMES- RAMBLA CATALUNYA, fent servir l'ascensor, vagi fins VESTÍBUL PROVENÇA, passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a la zona d'embarcament de l'últim cotxe.
 ITINERARI: Accedeixi a qualsevol comboi de les línies S1 o S5(10 parades). Baixi a MIRA-SOL. 
 Per sortir per PLAÇA BAIXADOR: Dirigeixis cap a VESTÍBUL seguint indicador sortida, fent servir l'ascensor. Surti de l'estació per PLAÇA BAIXADOR, passant per la validadora."
Barcelona - Valles;PLAÇA CATALUNYA;SANT GERVASI;Sense solució
Barcelona - Valles;PROVENÇA;RUBÍ;"Entrada per BALMES-ENRIQUE GRANADOS / BALMES- RAMBLA CATALUNYA: Accedeixi a l'estació per BALMES-ENRIQUE GRANADOS / BALMES- RAMBLA CATALUNYA, fent servir l'ascensor, vagi fins VESTÍBUL PROVENÇA, passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a la zona d'embarcament de l'últim cotxe.
 ITINERARI: Accedeixi a qualsevol comboi de la línia S1(12 parades). Baixi a RUBÍ. 
 Per sortir per AVINGUDA BARCELONA: Dirigeixis cap a VESTÍBUL INFERIOR seguint indicador sortida, fent servir l'ascensor. Surti de l'estació per AVINGUDA BARCELONA, passant per la validadora."
Barcelona - Valles;PLAÇA CATALUNYA;LES TRES TORRES;"Entrada per PELAI - RAMBLA (METRO L3): Accedeixi a l'estació per PELAI - RAMBLA (METRO L3), fent servir l'ascensor, vagi fins VESTÍBUL PLAÇA CATALUNYA, passant per la validadora. Comprovi en els panells d'informació d'on surt el primer comboi d'alguna de les línies L6,S5,S55. Dirigeixis cap a l'andana que correspongui fent servir l'ascensor, situïs a la zona d'embarcament de l'últim cotxe.
 ITINERARI: Accedeixi a qualsevol comboi de les línies L6,S5 o S55(6 parades). Baixi a LES TRES TORRES. 
 Per sortir per CALATRAVA - DOCTOR ROUX: Dirigeixis cap a VESTÍBUL VIA 1 seguint indicador sortida. Surti de l'estació per CALATRAVA - DOCTOR ROUX, fent servir l'ascensor, passant per la validadora."
Barcelona - Valles;PROVENÇA;TERRASSA RAMBLA;"Entrada per BALMES-ENRIQUE GRANADOS / BALMES- RAMBLA CATALUNYA: Accedeixi a l'estació per BALMES-ENRIQUE GRANADOS / BALMES- RAMBLA CATALUNYA, fent servir l'ascensor, vagi fins VESTÍBUL PROVENÇA, passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a la zona d'embarcament de l'últim cotxe.
 ITINERARI: Accedeixi a qualsevol comboi de la línia S1(14 parades). Baixi a TERRASSA RAMBLA(En dies festius i caps de setmana tant l'embarcament com el desembarcament, es realitza únicament a través de l'andana de via 1.). 
 Per sortir per RAMBLA D'EGARA: Dirigeixis cap a VESTÍBUL seguint indicador sortida, fent servir l'ascensor. Surti de l'estació per RAMBLA D'EGARA, fent servir l'ascensor, passant per la validadora."
Barcelona - Valles;PLAÇA CATALUNYA;LES PLANES;"Entrada per PELAI - RAMBLA (METRO L3): Accedeixi a l'estació per PELAI - RAMBLA (METRO L3), fent servir l'ascensor, vagi fins VESTÍBUL PLAÇA CATALUNYA, passant per la validadora. Comprovi en els panells d'informació d'on surt el primer comboi d'alguna de les línies S1,S2. Dirigeixis cap a l'andana que correspongui fent servir l'ascensor, situïs a la zona d'embarcament de l'últim cotxe.
 ITINERARI: Accedeixi a qualsevol comboi de les línies S1 o S2(7 parades). Baixi a LES PLANES. 
 Per sortir per CARRETERA DE VALLVIDRERA: Dirigeixis cap a PASSERA  seguint indicador sortida, fent servir l'ascensor, passant per la validadora. Surti de l'estació per CARRETERA DE VALLVIDRERA, fent servir l'ascensor.
 Per sortir per PLAÇA MAJOR DEL RECTORET: Dirigeixis cap a PASSERA  seguint indicador sortida, fent servir l'ascensor, passant per la validadora. Surti de l'estació per PLAÇA MAJOR DEL RECTORET, mitjançant rampa."
Barcelona - Valles;PROVENÇA;BELLATERRA;"Entrada per BALMES-ENRIQUE GRANADOS / BALMES- RAMBLA CATALUNYA: Accedeixi a l'estació per BALMES-ENRIQUE GRANADOS / BALMES- RAMBLA CATALUNYA, fent servir l'ascensor, vagi fins VESTÍBUL PROVENÇA, passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a la zona d'embarcament del primer cotxe.
 ITINERARI: Accedeixi a qualsevol comboi de les línies S2 o S55(12 parades). Baixi a BELLATERRA. 
 Per sortir per PLAÇA DEL PI: Dirigeixis cap a VESTÍBUL VIA 1 seguint indicador sortida. Surti de l'estació per PLAÇA DEL PI, fent servir l'ascensor i travessant la passera o passadís, passant per la validadora.
 Per sortir per U.A.B.: Dirigeixis cap a VESTÍBUL VIA 1 seguint indicador sortida. Surti de l'estació per U.A.B., fent servir l'ascensor, passant per la validadora."
Barcelona - Valles;PLAÇA CATALUNYA;LA FLORESTA;"Entrada per PELAI - RAMBLA (METRO L3): Accedeixi a l'estació per PELAI - RAMBLA (METRO L3), fent servir l'ascensor, vagi fins VESTÍBUL PLAÇA CATALUNYA, passant per la validadora. Comprovi en els panells d'informació d'on surt el primer comboi d'alguna de les línies S1,S2,S5,S55. Dirigeixis cap a l'andana que correspongui fent servir l'ascensor, situïs a la zona d'embarcament de l'últim cotxe.
 ITINERARI: Accedeixi a qualsevol comboi de les línies S1,S2,S5 o S55(8 parades). Baixi a LA FLORESTA. 
 Per sortir per PASSEIG DE LA FLORESTA: Surti de l'estació per PASSEIG DE LA FLORESTA, fent servir l'ascensor."
Barcelona - Valles;PROVENÇA;SABADELL ESTACIÓ;"Entrada per BALMES-ENRIQUE GRANADOS / BALMES- RAMBLA CATALUNYA: Accedeixi a l'estació per BALMES-ENRIQUE GRANADOS / BALMES- RAMBLA CATALUNYA, fent servir l'ascensor, vagi fins VESTÍBUL PROVENÇA, passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a la zona d'embarcament del primer cotxe.
 ITINERARI: Accedeixi a qualsevol comboi de la línia S2(15 parades). Baixi a SABADELL ESTACIÓ. 
 Per sortir per SANT JORDI: Dirigeixis cap a VESTÍBUL (GRAN) seguint indicador sortida, mitjançant rampa. Surti de l'estació per SANT JORDI, mitjançant rampa, passant per la validadora."
Barcelona - Valles;PLAÇA CATALUNYA;SANT CUGAT;"Entrada per PELAI - RAMBLA (METRO L3): Accedeixi a l'estació per PELAI - RAMBLA (METRO L3), fent servir l'ascensor, vagi fins VESTÍBUL PLAÇA CATALUNYA, passant per la validadora. Comprovi en els panells d'informació d'on surt el primer comboi d'alguna de les línies S1,S2. Dirigeixis cap a l'andana que correspongui fent servir l'ascensor, situïs a la zona d'embarcament de l'últim cotxe.
 ITINERARI: Accedeixi a qualsevol comboi de les línies S1 o S2(7 parades). Baixi a LES PLANES  prement el botó per avisar intercanvi de cotxe. Vagi de l'últim cotxe  fins el primer cotxe. Després de 3 parades més, baixi a SANT CUGAT. 
 Per sortir per PL. LLUIS MILLET: Dirigeixis cap a VESTÍBUL VIA 1 seguint indicador sortida, fent servir l'ascensor. Surti de l'estació per PL. LLUIS MILLET, passant per la validadora.
 Per sortir per CARRER ANDANA: Dirigeixis cap a VESTÍBUL VIA 2 seguint indicador sortida, fent servir l'ascensor i travessant la passera o passadís. Surti de l'estació per CARRER ANDANA, mitjançant rampa, passant per la validadora."
Barcelona - Valles;GRÀCIA;EL PUTXET;Sense solució
Barcelona - Valles;PLAÇA CATALUNYA;RUBÍ;"Entrada per PELAI - RAMBLA (METRO L3): Accedeixi a l'estació per PELAI - RAMBLA (METRO L3), fent servir l'ascensor, vagi fins VESTÍBUL PLAÇA CATALUNYA, passant per la validadora. Comprovi en els panells d'informació d'on surt el primer comboi de la línia S1. Dirigeixis cap a l'andana que correspongui fent servir l'ascensor, situïs a la zona d'embarcament de l'últim cotxe.
 ITINERARI: Accedeixi a qualsevol comboi de la línia S1(13 parades). Baixi a RUBÍ. 
 Per sortir per AVINGUDA BARCELONA: Dirigeixis cap a VESTÍBUL INFERIOR seguint indicador sortida, fent servir l'ascensor. Surti de l'estació per AVINGUDA BARCELONA, passant per la validadora."
Barcelona - Valles;GRÀCIA;SANT GERVASI;Sense solució
Barcelona - Valles;PLAÇA CATALUNYA;LES FONTS;"Entrada per PELAI - RAMBLA (METRO L3): Accedeixi a l'estació per PELAI - RAMBLA (METRO L3), fent servir l'ascensor, vagi fins VESTÍBUL PLAÇA CATALUNYA, passant per la validadora. Comprovi en els panells d'informació d'on surt el primer comboi de la línia S1. Dirigeixis cap a l'andana que correspongui fent servir l'ascensor, situïs a la zona d'embarcament de l'últim cotxe.
 ITINERARI: Accedeixi a qualsevol comboi de la línia S1(14 parades). Baixi a LES FONTS. 
 Per sortir per MOSSÈN PERRAMÓN: Dirigeixis cap a VESTÍBUL MOSSÈN PERRAMÓN seguint indicador sortida, mitjançant rampa. Surti de l'estació per  MOSSÈN PERRAMÓN, passant per la validadora.
 Per sortir per PASSEIG DEL FERROCARRIL: Dirigeixis cap a VESTÍBUL PASSEIG DEL FERROCARRIL seguint indicador sortida, fent servir l'ascensor. Surti de l'estació per PASSEIG DEL FERROCARRIL, passant per la validadora."
Barcelona - Valles;GRÀCIA;LES TRES TORRES;"Entrada per GALA PLACÍDIA / MARIÀ CUBÍ: Accedeixi a l'estació per GALA PLACÍDIA / MARIÀ CUBÍ, fent servir l'ascensor, vagi fins VESTÍBUL, passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a la zona d'embarcament de l'últim cotxe.
 ITINERARI: Accedeixi a qualsevol comboi de les línies L6,S5 o S55(4 parades). Baixi a LES TRES TORRES. 
 Per sortir per CALATRAVA - DOCTOR ROUX: Dirigeixis cap a VESTÍBUL VIA 1 seguint indicador sortida. Surti de l'estació per CALATRAVA - DOCTOR ROUX, fent servir l'ascensor, passant per la validadora."
Barcelona - Valles;PLAÇA CATALUNYA;VOLPELLERES;"Entrada per PELAI - RAMBLA (METRO L3): Accedeixi a l'estació per PELAI - RAMBLA (METRO L3), fent servir l'ascensor, vagi fins VESTÍBUL PLAÇA CATALUNYA, passant per la validadora. Comprovi en els panells d'informació d'on surt el primer comboi d'alguna de les línies S2,S55. Dirigeixis cap a l'andana que correspongui fent servir l'ascensor, situïs a la zona d'embarcament de l'últim cotxe.
 ITINERARI: Accedeixi a qualsevol comboi de les línies S2 o S55(11 parades). Baixi a VOLPELLERES. 
 Per sortir per PLAÇA DE LA VINYA: Vagi de l'andana de la via 1 fins l'andana de la via 2, fent servir l'ascensor i travessant la passera o passadís. Dirigeixis cap a VESTÍBUL PLAÇA DE LA VINYA seguint indicador sortida. Surti de l'estació per PLAÇA DE LA VINYA, mitjançant rampa, passant per la validadora.
 Per sortir per ALFONS D'ARAGÓ: Dirigeixis cap a VESTÍBUL ALFONS D'ARAGÓ seguint indicador sortida. Surti de l'estació per ALFONS D'ARAGÓ, passant per la validadora."
Barcelona - Valles;GRÀCIA;SANT CUGAT;"Entrada per GALA PLACÍDIA / MARIÀ CUBÍ: Accedeixi a l'estació per GALA PLACÍDIA / MARIÀ CUBÍ, fent servir l'ascensor, vagi fins VESTÍBUL, passant per la validadora. Accedeixi a l'andana de la via 1, fent servir l'ascensor, situïs a la zona d'embarcament de l'últim cotxe.
 ITINERARI: Accedeixi a qualsevol comboi de les línies S1 o S2(5 parades) o S5 o S55(2 parades). Baixi a LES PLANES  prement el botó per avisar intercanvi de cotxe. Vagi de l'últim cotxe  fins el primer cotxe. Després de 3 parades més, baixi a SANT CUGAT. 
 Per sortir per PL. LLUIS MILLET: Dirigeixis cap a VESTÍBUL VIA 1 seguint indicador sortida, fent servir l'ascensor. Surti de l'estació per PL. LLUIS MILLET, passant per la validadora.
 Per sortir per CARRER ANDANA: Dirigeixis cap a VESTÍBUL VIA 2 seguint indicador sortida, fent servir l'ascensor i travessant la passera o passadís. Surti de l'estació per CARRER ANDANA, mitjançant rampa, passant per la validadora."
